question,answer,contexts
What is the procedure to make a claim for windscreen damage?,"To make a claim for windscreen damage, you need to contact the windscreen claims number provided, and the policy will cover the cost of replacing or repairing broken glass in the windscreen, sunroof, or windows.","To make a claim for windscreen damage, you need to contact the windscreen claims number provided, and the policy will cover the cost of replacing or repairing broken glass in the windscreen, sunroof, or windows."
Does the policy cover theft if the car is left unlocked?,"No, the policy does not cover theft or attempted theft if the car is left unlocked.","No, the policy does not cover theft or attempted theft if the car is left unlocked."
Are electric car charging cables covered under the policy?,"Yes, the home charger and charging cables are considered an accessory to the car and are covered under 'Section 2: Fire and theft' or 'Section 4: Accidental damage' of your policy.","Yes, the home charger and charging cables are considered an accessory to the car and are covered under 'Section 2: Fire and theft' or 'Section 4: Accidental damage.'"
What is the coverage for personal accident?,"The policy covers up to £10,000 for personal accident under Comprehensive Plus cover if you or your partner are accidentally injured or killed in a car accident involving your car.","The policy covers up to Â£10,000 for personal accident under Comprehensive Plus cover if you or your partner are accidentally injured or killed in a car accident involving your car."
What is DriveSure and how does it affect my premium?,"DriveSure is a telematics insurance product designed to capture how, when, and where your car is driven, based on driver-monitoring technology. This information is used to understand your driving style and give you feedback. Your premium may be affected based on your driving record and behavior as monitored by DriveSure.","DriveSure is a telematics insurance product designed to capture how, when, and where your car is driven, based on driver-monitoring technology. This information is used to understand your driving style and give feedback, which in turn bases your premium on your driving record."
How much will be covered for the theft of car keys?,"The policy covers up to £1,000 for the theft of car keys.","The policy covers up to Â£1,000 for the theft of car keys."
What does Motor Legal Cover include?,Motor Legal Cover includes covering costs if you need to take legal action or defend yourself in court.,Motor Legal Cover includes covering costs if you need to take legal action or defend yourself in court.
Are courtesy cars available for all types of cover?,Courtesy cars are available if you have Essentials or Comprehensive cover and your car is being repaired by an approved repairer.,Courtesy cars are available if you have Essentials or Comprehensive cover and your car is being repaired by an approved repairer.
What are the territorial limits for coverage?,"The territorial limits for coverage include Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man.","The territorial limits include Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man."
What should you do if you are involved in an accident?,"If you are involved in an accident, you should first ensure safety by stopping at the scene and calling the police and emergency services if there are any injuries or if any driver involved hasn’t stopped. Then, you should take photos of the accident if it's safe to do so, including any vehicles involved. Additionally, you should exchange personal details, policy numbers, car registration numbers, and descriptions of the loss or damage with the other party involved.","You should provide your personal details, policy number, car registration number, and a description of the loss or damage."
What is covered under Section 1: Liability?,"Under Section 1: Liability, your car insurance policy provides cover for liability to other people (third parties) within the territorial limits in the countries listed in the 'Countries where you have minimum cover'. This includes injury to anyone working with or for the driver of the car, except as set out in the Road Traffic Act. If your policy includes Green Flag, it may also cover liability for accidents caused by your automated car when it is lawfully driving. Additional details and any restrictions can be found under each section of the policy.",Section 1: Liability covers you if you're found to be legally responsible for an accident involving your car that injures or kills someone or damages their property.
What is the coverage for new car replacement under Comprehensive Plus?,"If your new car is stolen and not recovered, or written off, Comprehensive Plus cover will replace it with one of the same make and model.","If your new car is stolen and not recovered, or written off, Comprehensive Plus will replace it with one of the same make and model if your car is less than 2 years old."
Are personal belongings covered under the policy?,"Yes, personal belongings are covered under the policy if they are lost or damaged by fire, theft, attempted theft, or accident while they’re in or on your car.","Yes, personal belongings are covered if they are lost or damaged by fire, theft, attempted theft, or accident while theyâre in or on your car, up to Â£500 under Comprehensive Plus."
What is the maximum number of claims allowed under Protected No Claim Discount?,The maximum number of claims allowed under Protected No Claim Discount is 2 claims in 3 years.,The maximum number of claims allowed under Protected No Claim Discount is 2 claims in 3 years.
What should you do if you need to make a claim?,"To make a claim, you should provide your personal details, policy number, car registration number, and a description of the loss or damage. Additionally, you should inform us and your appointed representative of any information, evidence, or documents you have related to the claim. It's important to keep us updated on any developments regarding the claim.","You should call the claims number provided 0345 878 6261
Windscreen claims 0800 328 9150 , have your personal details, policy number, car registration number, and a description of the loss or damage ready."
Does the policy cover mechanical or electrical failure?,"No, the policy does not cover mechanical or electrical failure.","No, the policy does not cover mechanical or electrical failure."
Can you use your car abroad under this policy?,"Yes, you can use your car abroad under this policy if you have Comprehensive cover and you've added the Foreign Use Extension to your cover before you travel. This information will be shown on your car insurance details.","Yes, you can use your car abroad, but you may need a Green Card and should take a European Accident Statement with you."
What happens if your car is written off?,"If your car is written off, the insurance company may choose to either repair the damage themselves or pay you the value of the car if it's more cost-effective than repairing it. Once the claim is settled, your car will become the property of the insurance company, and you may need to send them the registration document. All cover will then end unless otherwise agreed.","If your car is written off, the insurance will pay the market value of the car, and the car will become the property of the insurance company."
What does the Vandalism Promise cover?,"The Vandalism Promise covers damage to your car that is a result of vandalism. If you claim for such damage, it won't affect the No Claim Discount on your policy. However, it's important to note that the Vandalism Promise doesn't cover damage caused by another vehicle.","The Vandalism Promise covers damage to your car that is a result of vandalism, and this wonât affect the No Claim Discount on your policy."
What is the Uninsured Driver Promise?,"The Uninsured Driver Promise covers you if you are involved in an accident that isn't your fault, and the driver of the other vehicle is uninsured. It helps you claim your uninsured losses from the person who was to blame for the accident. This could include compensation for death or bodily injury.","The Uninsured Driver Promise ensures that if you are hit by an uninsured driver, your No Claim Discount will not be affected and you will not need to pay an excess."
